image_path,true_label,model,target_object,top_prediction,top_prediction_confidence,matched_label,mapped,confidence,threshold,success,processing_time_ms
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_03.jpg,book,resnet,remote control,book jacket,0.7527,modem,True,0.0053,0.4,False,58.78
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_03.jpg,book,resnet,toothbrush,book jacket,0.7527,,False,0.7527,0.4,False,58.78
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_04.jpg,book,resnet,book,book jacket,0.3068,book jacket,True,0.3068,0.4,False,65.16
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_04.jpg,book,resnet,bottle,book jacket,0.3068,,False,0.3068,0.4,False,65.16
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_04.jpg,book,resnet,cup,book jacket,0.3068,,False,0.3068,0.4,False,65.16
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_04.jpg,book,resnet,keyboard,book jacket,0.3068,,False,0.3068,0.4,False,65.16
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_04.jpg,book,resnet,laptop,book jacket,0.3068,modem,True,0.027,0.4,False,65.16
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_04.jpg,book,resnet,mouse,book jacket,0.3068,modem,True,0.027,0.4,False,65.16
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_04.jpg,book,resnet,remote control,book jacket,0.3068,modem,True,0.027,0.4,False,65.16
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_04.jpg,book,resnet,toothbrush,book jacket,0.3068,lotion,True,0.0254,0.4,False,65.16
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_05.jpg,book,resnet,book,modem,0.4907,notebook,True,0.0236,0.4,False,63.35
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_05.jpg,book,resnet,bottle,modem,0.4907,,False,0.4907,0.4,False,63.35
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_05.jpg,book,resnet,cup,modem,0.4907,,False,0.4907,0.4,False,63.35
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_05.jpg,book,resnet,keyboard,modem,0.4907,,False,0.4907,0.4,False,63.35
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_05.jpg,book,resnet,laptop,modem,0.4907,modem,True,0.4907,0.4,True,63.35
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_05.jpg,book,resnet,mouse,modem,0.4907,modem,True,0.4907,0.4,True,63.35
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_05.jpg,book,resnet,remote control,modem,0.4907,modem,True,0.4907,0.4,True,63.35
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_05.jpg,book,resnet,toothbrush,modem,0.4907,,False,0.4907,0.4,False,63.35
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_06.jpg,book,resnet,book,menu,0.9238,menu,True,0.9238,0.4,True,62.96
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_06.jpg,book,resnet,bottle,menu,0.9238,,False,0.9238,0.4,False,62.96
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_06.jpg,book,resnet,cup,menu,0.9238,,False,0.9238,0.4,False,62.96
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_06.jpg,book,resnet,keyboard,menu,0.9238,,False,0.9238,0.4,False,62.96
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_06.jpg,book,resnet,laptop,menu,0.9238,,False,0.9238,0.4,False,62.96
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_06.jpg,book,resnet,mouse,menu,0.9238,,False,0.9238,0.4,False,62.96
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_06.jpg,book,resnet,remote control,menu,0.9238,,False,0.9238,0.4,False,62.96
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_06.jpg,book,resnet,toothbrush,menu,0.9238,,False,0.9238,0.4,False,62.96
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_07.jpg,book,resnet,book,photocopier,0.5478,file,True,0.022,0.4,False,66.03
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_07.jpg,book,resnet,bottle,photocopier,0.5478,,False,0.5478,0.4,False,66.03
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_07.jpg,book,resnet,cup,photocopier,0.5478,,False,0.5478,0.4,False,66.03
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_07.jpg,book,resnet,keyboard,photocopier,0.5478,,False,0.5478,0.4,False,66.03
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_07.jpg,book,resnet,laptop,photocopier,0.5478,mouse,True,0.0191,0.4,False,66.03
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_07.jpg,book,resnet,mouse,photocopier,0.5478,mouse,True,0.0191,0.4,False,66.03
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_07.jpg,book,resnet,remote control,photocopier,0.5478,,False,0.5478,0.4,False,66.03
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_07.jpg,book,resnet,toothbrush,photocopier,0.5478,,False,0.5478,0.4,False,66.03
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_08.jpg,book,resnet,book,menu,0.315,menu,True,0.315,0.4,False,64.06
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_08.jpg,book,resnet,bottle,menu,0.315,,False,0.315,0.4,False,64.06
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_08.jpg,book,resnet,cup,menu,0.315,,False,0.315,0.4,False,64.06
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_08.jpg,book,resnet,keyboard,menu,0.315,,False,0.315,0.4,False,64.06
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_08.jpg,book,resnet,laptop,menu,0.315,mouse,True,0.0063,0.4,False,64.06
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_08.jpg,book,resnet,mouse,menu,0.315,joystick,True,0.0106,0.4,False,64.06
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_08.jpg,book,resnet,remote control,menu,0.315,joystick,True,0.0106,0.4,False,64.06
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_08.jpg,book,resnet,toothbrush,menu,0.315,,False,0.315,0.4,False,64.06
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_09.jpg,book,resnet,book,bookcase,0.8795,book,True,0.8795,0.4,True,62.59
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_09.jpg,book,resnet,bottle,bookcase,0.8795,,False,0.8795,0.4,False,62.59
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_09.jpg,book,resnet,cup,bookcase,0.8795,,False,0.8795,0.4,False,62.59
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_09.jpg,book,resnet,keyboard,bookcase,0.8795,,False,0.8795,0.4,False,62.59
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_09.jpg,book,resnet,laptop,bookcase,0.8795,,False,0.8795,0.4,False,62.59
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_09.jpg,book,resnet,mouse,bookcase,0.8795,,False,0.8795,0.4,False,62.59
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_09.jpg,book,resnet,remote control,bookcase,0.8795,cassette player,True,0.0586,0.4,False,62.59
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_09.jpg,book,resnet,toothbrush,bookcase,0.8795,,False,0.8795,0.4,False,62.59
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_10.jpg,book,resnet,book,binder,0.6834,ring binder,True,0.6834,0.4,True,63.07
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_10.jpg,book,resnet,bottle,binder,0.6834,,False,0.6834,0.4,False,63.07
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_10.jpg,book,resnet,cup,binder,0.6834,,False,0.6834,0.4,False,63.07
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_10.jpg,book,resnet,keyboard,binder,0.6834,,False,0.6834,0.4,False,63.07
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_10.jpg,book,resnet,laptop,binder,0.6834,,False,0.6834,0.4,False,63.07
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_10.jpg,book,resnet,mouse,binder,0.6834,,False,0.6834,0.4,False,63.07
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_10.jpg,book,resnet,remote control,binder,0.6834,,False,0.6834,0.4,False,63.07
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_10.jpg,book,resnet,toothbrush,binder,0.6834,,False,0.6834,0.4,False,63.07
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_01.jpg,bottle,resnet,book,water bottle,0.9314,,False,0.9314,0.4,False,52.57
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_01.jpg,bottle,resnet,bottle,water bottle,0.9314,water bottle,True,0.9314,0.4,True,52.57
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_01.jpg,bottle,resnet,cup,water bottle,0.9314,,False,0.9314,0.4,False,52.57
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_01.jpg,bottle,resnet,keyboard,water bottle,0.9314,,False,0.9314,0.4,False,52.57
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_01.jpg,bottle,resnet,laptop,water bottle,0.9314,,False,0.9314,0.4,False,52.57
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_01.jpg,bottle,resnet,mouse,water bottle,0.9314,,False,0.9314,0.4,False,52.57
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_01.jpg,bottle,resnet,remote control,water bottle,0.9314,,False,0.9314,0.4,False,52.57
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_01.jpg,bottle,resnet,toothbrush,water bottle,0.9314,,False,0.9314,0.4,False,52.57
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_02.jpg,bottle,resnet,book,water bottle,0.7898,,False,0.7898,0.4,False,60.46
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_02.jpg,bottle,resnet,bottle,water bottle,0.7898,water bottle,True,0.7898,0.4,True,60.46
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_02.jpg,bottle,resnet,cup,water bottle,0.7898,,False,0.7898,0.4,False,60.46
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_02.jpg,bottle,resnet,keyboard,water bottle,0.7898,,False,0.7898,0.4,False,60.46
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_02.jpg,bottle,resnet,laptop,water bottle,0.7898,,False,0.7898,0.4,False,60.46
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_02.jpg,bottle,resnet,mouse,water bottle,0.7898,,False,0.7898,0.4,False,60.46
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_02.jpg,bottle,resnet,remote control,water bottle,0.7898,,False,0.7898,0.4,False,60.46
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_02.jpg,bottle,resnet,toothbrush,water bottle,0.7898,hair spray,True,0.014,0.4,False,60.46
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_03.jpg,bottle,resnet,book,pill bottle,0.1552,,False,0.1552,0.4,False,61.22
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_03.jpg,bottle,resnet,bottle,pill bottle,0.1552,pill bottle,True,0.1552,0.4,False,61.22
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_03.jpg,bottle,resnet,cup,pill bottle,0.1552,,False,0.1552,0.4,False,61.22
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_03.jpg,bottle,resnet,keyboard,pill bottle,0.1552,,False,0.1552,0.4,False,61.22
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_03.jpg,bottle,resnet,laptop,pill bottle,0.1552,,False,0.1552,0.4,False,61.22
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_03.jpg,bottle,resnet,mouse,pill bottle,0.1552,,False,0.1552,0.4,False,61.22
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_03.jpg,bottle,resnet,remote control,pill bottle,0.1552,,False,0.1552,0.4,False,61.22
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_03.jpg,bottle,resnet,toothbrush,pill bottle,0.1552,soap dispenser,True,0.0242,0.4,False,61.22
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_04.jpg,bottle,resnet,book,cocktail shaker,0.134,paper towel,True,0.0276,0.4,False,61.87
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_04.jpg,bottle,resnet,bottle,cocktail shaker,0.134,pill bottle,True,0.1102,0.4,False,61.87
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_04.jpg,bottle,resnet,cup,cocktail shaker,0.134,coffee mug,True,0.0262,0.4,False,61.87
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_04.jpg,bottle,resnet,keyboard,cocktail shaker,0.134,,False,0.134,0.4,False,61.87
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_04.jpg,bottle,resnet,laptop,cocktail shaker,0.134,,False,0.134,0.4,False,61.87
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_04.jpg,bottle,resnet,mouse,cocktail shaker,0.134,,False,0.134,0.4,False,61.87
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_04.jpg,bottle,resnet,remote control,cocktail shaker,0.134,,False,0.134,0.4,False,61.87
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_04.jpg,bottle,resnet,toothbrush,cocktail shaker,0.134,soap dispenser,True,0.1118,0.4,False,61.87
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_05.jpg,bottle,resnet,book,water bottle,0.6817,,False,0.6817,0.4,False,65.77
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_05.jpg,bottle,resnet,bottle,water bottle,0.6817,water bottle,True,0.6817,0.4,True,65.77
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_05.jpg,bottle,resnet,cup,water bottle,0.6817,measuring cup,True,0.0468,0.4,False,65.77
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_05.jpg,bottle,resnet,keyboard,water bottle,0.6817,,False,0.6817,0.4,False,65.77
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_05.jpg,bottle,resnet,laptop,water bottle,0.6817,,False,0.6817,0.4,False,65.77
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_05.jpg,bottle,resnet,mouse,water bottle,0.6817,,False,0.6817,0.4,False,65.77
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_05.jpg,bottle,resnet,remote control,water bottle,0.6817,,False,0.6817,0.4,False,65.77
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_05.jpg,bottle,resnet,toothbrush,water bottle,0.6817,,False,0.6817,0.4,False,65.77
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_06.jpg,bottle,resnet,book,pill bottle,0.9822,,False,0.9822,0.4,False,63.79
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_06.jpg,bottle,resnet,bottle,pill bottle,0.9822,pill bottle,True,0.9822,0.4,True,63.79
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_06.jpg,bottle,resnet,cup,pill bottle,0.9822,,False,0.9822,0.4,False,63.79
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_06.jpg,bottle,resnet,keyboard,pill bottle,0.9822,,False,0.9822,0.4,False,63.79
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_06.jpg,bottle,resnet,laptop,pill bottle,0.9822,,False,0.9822,0.4,False,63.79
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_06.jpg,bottle,resnet,mouse,pill bottle,0.9822,,False,0.9822,0.4,False,63.79
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_06.jpg,bottle,resnet,remote control,pill bottle,0.9822,,False,0.9822,0.4,False,63.79
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_06.jpg,bottle,resnet,toothbrush,pill bottle,0.9822,lotion,True,0.0006,0.4,False,63.79
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_07.jpg,bottle,resnet,book,pill bottle,0.705,,False,0.705,0.4,False,55.04
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_07.jpg,bottle,resnet,bottle,pill bottle,0.705,pill bottle,True,0.705,0.4,True,55.04
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_07.jpg,bottle,resnet,cup,pill bottle,0.705,,False,0.705,0.4,False,55.04
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_07.jpg,bottle,resnet,keyboard,pill bottle,0.705,,False,0.705,0.4,False,55.04
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_07.jpg,bottle,resnet,laptop,pill bottle,0.705,,False,0.705,0.4,False,55.04
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_07.jpg,bottle,resnet,mouse,pill bottle,0.705,,False,0.705,0.4,False,55.04
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_07.jpg,bottle,resnet,remote control,pill bottle,0.705,,False,0.705,0.4,False,55.04
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_07.jpg,bottle,resnet,toothbrush,pill bottle,0.705,,False,0.705,0.4,False,55.04
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_08.jpg,bottle,resnet,book,lighter,0.1093,,False,0.1093,0.4,False,63.89
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_08.jpg,bottle,resnet,bottle,lighter,0.1093,water bottle,True,0.1078,0.4,False,63.89
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_08.jpg,bottle,resnet,cup,lighter,0.1093,,False,0.1093,0.4,False,63.89
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_08.jpg,bottle,resnet,keyboard,lighter,0.1093,,False,0.1093,0.4,False,63.89
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_08.jpg,bottle,resnet,laptop,lighter,0.1093,,False,0.1093,0.4,False,63.89
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_08.jpg,bottle,resnet,mouse,lighter,0.1093,,False,0.1093,0.4,False,63.89
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_08.jpg,bottle,resnet,remote control,lighter,0.1093,,False,0.1093,0.4,False,63.89
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_08.jpg,bottle,resnet,toothbrush,lighter,0.1093,soap dispenser,True,0.0246,0.4,False,63.89
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_09.jpg,bottle,resnet,book,lighter,0.1458,jigsaw puzzle,True,0.026,0.4,False,74.58
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_09.jpg,bottle,resnet,bottle,lighter,0.1458,,False,0.1458,0.4,False,74.58
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_09.jpg,bottle,resnet,cup,lighter,0.1458,,False,0.1458,0.4,False,74.58
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_09.jpg,bottle,resnet,keyboard,lighter,0.1458,,False,0.1458,0.4,False,74.58
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_09.jpg,bottle,resnet,laptop,lighter,0.1458,,False,0.1458,0.4,False,74.58
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_09.jpg,bottle,resnet,mouse,lighter,0.1458,switch,True,0.0436,0.4,False,74.58
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_09.jpg,bottle,resnet,remote control,lighter,0.1458,switch,True,0.0436,0.4,False,74.58
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_09.jpg,bottle,resnet,toothbrush,lighter,0.1458,soap dispenser,True,0.0342,0.4,False,74.58
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_10.jpg,bottle,resnet,book,water bottle,0.9159,,False,0.9159,0.4,False,62.37
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_10.jpg,bottle,resnet,bottle,water bottle,0.9159,water bottle,True,0.9159,0.4,True,62.37
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_10.jpg,bottle,resnet,cup,water bottle,0.9159,,False,0.9159,0.4,False,62.37
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_10.jpg,bottle,resnet,keyboard,water bottle,0.9159,,False,0.9159,0.4,False,62.37
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_10.jpg,bottle,resnet,laptop,water bottle,0.9159,,False,0.9159,0.4,False,62.37
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_10.jpg,bottle,resnet,mouse,water bottle,0.9159,,False,0.9159,0.4,False,62.37
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_10.jpg,bottle,resnet,remote control,water bottle,0.9159,,False,0.9159,0.4,False,62.37
C:\Users\user\Documents\?¥ì‹¤1\test_images\bottle\bottle_10.jpg,bottle,resnet,toothbrush,water bottle,0.9159,,False,0.9159,0.4,False,62.37
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_0.jpg,cup,resnet,book,clog,0.2782,,False,0.2782,0.4,False,85.08
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_0.jpg,cup,resnet,bottle,clog,0.2782,water jug,True,0.1381,0.4,False,85.08
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_0.jpg,cup,resnet,cup,clog,0.2782,,False,0.2782,0.4,False,85.08
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_0.jpg,cup,resnet,keyboard,clog,0.2782,,False,0.2782,0.4,False,85.08
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_0.jpg,cup,resnet,laptop,clog,0.2782,,False,0.2782,0.4,False,85.08
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_0.jpg,cup,resnet,mouse,clog,0.2782,,False,0.2782,0.4,False,85.08
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_0.jpg,cup,resnet,remote control,clog,0.2782,,False,0.2782,0.4,False,85.08
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_0.jpg,cup,resnet,toothbrush,clog,0.2782,,False,0.2782,0.4,False,85.08
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_02.jpg,cup,resnet,book,coffee mug,0.4738,,False,0.4738,0.4,False,80.3
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_02.jpg,cup,resnet,bottle,coffee mug,0.4738,water jug,True,0.0766,0.4,False,80.3
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_02.jpg,cup,resnet,cup,coffee mug,0.4738,coffee mug,True,0.4738,0.4,True,80.3
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_02.jpg,cup,resnet,keyboard,coffee mug,0.4738,,False,0.4738,0.4,False,80.3
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_02.jpg,cup,resnet,laptop,coffee mug,0.4738,,False,0.4738,0.4,False,80.3
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_02.jpg,cup,resnet,mouse,coffee mug,0.4738,,False,0.4738,0.4,False,80.3
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_02.jpg,cup,resnet,remote control,coffee mug,0.4738,,False,0.4738,0.4,False,80.3
C:\Users\user\Documents\?¥ì‹¤1\test_images\cup\cup_02.jpg,cup,resnet,toothbrush,coffee mug,0.4738,,False,0.4738,0.4,False,80.3
